Sembol,AlimTarihi,Lot,AlisFiyati,SonFiyat,Anapara,Bakiye,KarZararPct,GunSayisi,ArtanPara
SOKM,2025-08-12 17:12:28.379845,260,38.38,38.38,9978.800000000001,9978.800000000001,0.0,0,21.19999999999891
HKTM,2025-08-12 17:12:28.379845,775,12.89,12.89,9989.75,9989.75,0.0,0,10.25
BSOKE,2025-08-12 17:12:28.379845,727,13.74,13.74,9988.98,9988.98,0.0,0,11.020000000000437
SELEC,2025-08-12 17:12:28.379845,102,97.25,97.25,9919.5,9919.5,0.0,0,80.5
INDES,2025-08-12 17:12:28.379845,1250,8.0,8.0,10000.0,10000.0,0.0,0,0.0
ARASE,2025-08-12 17:12:28.379845,171,58.35,58.35,9977.85,9977.85,0.0,0,22.149999999999636
RNPOL,2025-08-12 17:12:28.379845,283,35.26,35.26,9978.58,9978.58,0.0,0,21.420000000000073
