Sembol,AlimTarihi,Lot,AlisFiyati,SonFiyat,Anapara,Bakiye,KarZararPct,GunSayisi,ArtanPara
EREGL,2025-08-11 22:04:47.066613,363,27.48,27.48,9975.24,9975.24,0.0,0,24.76000000000022
OBAMS,2025-08-11 22:04:47.066613,201,49.66,49.66,9981.66,9981.66,0.0,0,18.340000000000146
AYDEM,2025-08-11 22:04:47.066613,515,19.4,19.4,9991.0,9991.0,0.0,0,9.0
AVOD,2025-08-11 22:04:47.066613,2481,4.03,4.03,9998.43,9998.43,0.0,0,1.569999999999709
OFSYM,2025-08-11 22:04:47.066613,175,56.9,56.9,9957.5,9957.5,0.0,0,42.5
SELGD,2025-08-11 22:04:47.066613,122,81.7,81.7,9967.4,9967.4,0.0,0,32.600000000000364
