Sembol,AlimTarihi,Lot,AlisFiyati,SonFiyat,Anapara,Bakiye,KarZararPct,GunSayisi,ArtanPara
CANTE,2025-08-13 07:40:27.892618,4424,2.26,2.26,9998.24,9998.24,0.0,0,1.7600000000002183
EREGL,2025-08-13 07:40:27.892618,363,27.48,27.48,9975.24,9975.24,0.0,0,24.76000000000022
MAALT,2025-08-13 07:40:27.892618,8,1211.0,1211.0,9688.0,9688.0,0.0,0,312.0
AVOD,2025-08-13 07:40:27.892618,2475,4.04,4.04,9999.0,9999.0,0.0,0,1.0
METUR,2025-08-13 07:40:27.892618,190,52.45,52.45,9965.5,9965.5,0.0,0,34.5
SELGD,2025-08-13 07:40:27.892618,112,89.2,89.2,9990.4,9990.4,0.0,0,9.600000000000364
OFSYM,2025-08-13 07:40:27.892618,174,57.45,57.45,9996.300000000001,9996.300000000001,0.0,0,3.6999999999989086
