Sembol,AlimTarihi,Lot,AlisFiyati,SonFiyat,Anapara,Bakiye,KarZararPct,GunSayisi,ArtanPara
MERCN,2025-08-12 06:48:21.426599,250,39.88,39.88,9970.0,9970.0,0.0,0,30.0
GIPTA,2025-08-12 06:48:21.426599,73,136.2,136.2,9942.599999999999,9942.599999999999,0.0,0,57.400000000001455
AYDEM,2025-08-12 06:48:21.426599,515,19.4,19.4,9991.0,9991.0,0.0,0,9.0
MAALT,2025-08-12 06:48:21.426599,8,1187.0,1187.0,9496.0,9496.0,0.0,0,504.0
ACSEL,2025-08-12 06:48:21.426599,89,111.9,111.9,9959.1,9959.1,0.0,0,40.899999999999636
BAKAB,2025-08-12 06:49:33.650460,249,40.06,40.06,9974.94,9974.94,0.0,0,25.05999999999949
